Period,Ax,Bx,Gap,Au,Lam,Actual,Predicted
950.0,195.0,315.0,70.0,70.0,0.632,-2.81e-11,-2.984021893150815e-11
950.0,115.0,335.0,420.0,70.0,0.632,-1.75e-10,-1.588822691405805e-10
950.0,135.0,295.0,220.0,150.0,0.632,6.61e-10,6.32685128105059e-10
950.0,175.0,235.0,170.0,70.0,0.64,6.01e-11,4.459716976641014e-11
950.0,135.0,295.0,170.0,70.0,0.642,5.1e-10,4.899542826125142e-10
950.0,195.0,235.0,220.0,130.0,0.634,1.59e-10,1.3374777587277578e-10
950.0,175.0,215.0,70.0,70.0,0.632,-1.25e-10,-1.0094458936506811e-10
950.0,175.0,275.0,20.0,90.0,0.638,-3.55e-11,-2.008705718710075e-11
950.0,135.0,315.0,170.0,90.0,0.636,7.09e-10,7.406619520278913e-10
950.0,155.0,215.0,420.0,90.0,0.634,-8.78e-11,-8.52986860824658e-11
950.0,135.0,215.0,220.0,90.0,0.638,3.16e-10,3.038804591601301e-10
950.0,135.0,255.0,320.0,130.0,0.638,-4.75e-10,-4.5167602120672524e-10
950.0,135.0,295.0,120.0,90.0,0.632,2.71e-10,2.6251372061134767e-10
950.0,175.0,235.0,420.0,70.0,0.636,9.83e-11,6.923643768785927e-11
950.0,155.0,235.0,270.0,130.0,0.632,8.95e-11,6.927955269364994e-11
950.0,135.0,335.0,420.0,130.0,0.632,-9.4e-11,-1.610079275353615e-10
950.0,175.0,255.0,370.0,110.0,0.642,-3.19e-10,-3.255339518001974e-10
950.0,155.0,235.0,270.0,130.0,0.64,9.28e-11,7.222119093990559e-11
950.0,135.0,315.0,220.0,70.0,0.64,2.76e-10,2.370066194834148e-10
950.0,195.0,215.0,220.0,70.0,0.634,9.26e-12,2.3926235321793873e-11
950.0,135.0,335.0,70.0,110.0,0.64,1.61e-10,1.0418850352939527e-10
950.0,175.0,235.0,270.0,110.0,0.636,7.209999999999997e-13,-3.4922919921553634e-12
950.0,155.0,315.0,120.0,50.0,0.636,-8.34e-11,-7.235137336659828e-11
950.0,175.0,275.0,370.0,150.0,0.632,-2.49e-10,-2.63714348286753e-10
950.0,155.0,335.0,370.0,150.0,0.634,-2.3e-10,-1.7923877206152e-10
950.0,155.0,215.0,20.0,90.0,0.642,-1.04e-11,-2.7537957496255686e-11
950.0,135.0,335.0,220.0,50.0,0.634,9.98e-11,9.351396481136887e-11
950.0,115.0,315.0,120.0,150.0,0.632,3.78e-10,3.203864125206182e-10
950.0,155.0,275.0,70.0,150.0,0.638,6.67e-11,3.4600067826830303e-11
950.0,155.0,295.0,320.0,90.0,0.634,-4.93e-10,-4.836012257691012e-10
950.0,195.0,315.0,270.0,90.0,0.638,-2.65e-10,-2.381213295019984e-10
