Period,Ax,Bx,Gap,Au,Lam,Force
950,115,295,70,70,0.636,4.12E-11
950,115,295,70,70,0.638,6.98E-11
950,115,295,70,70,0.64,1.24E-10
950,115,295,70,70,0.642,-1.41E-10
950,115,295,70,90,0.632,6.22E-11
950,115,295,70,90,0.634,8.13E-11
950,115,295,70,90,0.636,9.56E-11
950,115,295,70,90,0.638,1.10E-10
950,115,295,70,90,0.64,1.32E-10
950,115,295,70,90,0.642,3.22E-11
950,115,295,70,110,0.632,6.75E-11
950,115,295,70,110,0.634,8.35E-11
950,115,295,70,110,0.636,9.46E-11
950,115,295,70,110,0.638,1.04E-10
950,115,295,70,110,0.64,1.16E-10
950,115,295,70,110,0.642,8.44E-11
950,115,295,70,130,0.632,6.55E-11
950,115,295,70,130,0.634,8.04E-11
950,115,295,70,130,0.636,9.02E-11
950,115,295,70,130,0.638,9.84E-11
950,115,295,70,130,0.64,1.07E-10
950,115,295,70,130,0.642,9.84E-11
950,115,295,70,150,0.632,6.44E-11
950,115,295,70,150,0.634,7.88E-11
950,115,295,70,150,0.636,8.82E-11
950,115,295,70,150,0.638,9.57E-11
950,115,295,70,150,0.64,1.02E-10
950,115,295,70,150,0.642,1.03E-10
950,115,295,120,50,0.632,-9.99E-11
950,115,295,120,50,0.634,-7.56E-11
950,115,295,120,50,0.636,-5.43E-11
950,115,295,120,50,0.638,-2.73E-11
950,115,295,120,50,0.64,4.48E-11
950,115,295,120,50,0.642,-2.75E-10
950,115,295,120,70,0.632,2.62E-10
950,115,295,120,70,0.634,2.89E-10
950,115,295,120,70,0.636,3.07E-10
950,115,295,120,70,0.638,3.25E-10
950,115,295,120,70,0.64,3.54E-10
950,115,295,120,70,0.642,2.61E-10
950,115,295,120,90,0.632,3.32E-10
950,115,295,120,90,0.634,3.57E-10
950,115,295,120,90,0.636,3.72E-10
950,115,295,120,90,0.638,3.84E-10
950,115,295,120,90,0.64,3.98E-10
950,115,295,120,90,0.642,3.67E-10
950,115,295,120,110,0.632,3.19E-10
950,115,295,120,110,0.634,3.42E-10
950,115,295,120,110,0.636,3.56E-10
950,115,295,120,110,0.638,3.67E-10
950,115,295,120,110,0.64,3.77E-10
950,115,295,120,110,0.642,3.67E-10
950,115,295,120,130,0.632,3.06E-10
950,115,295,120,130,0.634,3.29E-10
950,115,295,120,130,0.636,3.43E-10
950,115,295,120,130,0.638,3.53E-10
950,115,295,120,130,0.64,3.61E-10
950,115,295,120,130,0.642,3.62E-10
950,115,295,120,150,0.632,3.01E-10
950,115,295,120,150,0.634,3.24E-10
950,115,295,120,150,0.636,3.37E-10
950,115,295,120,150,0.638,3.47E-10
950,115,295,120,150,0.64,3.55E-10
950,115,295,120,150,0.642,3.59E-10
950,115,295,170,50,0.632,1.17E-10
950,115,295,170,50,0.634,1.12E-10
950,115,295,170,50,0.636,1.06E-10
950,115,295,170,50,0.638,9.64E-11
950,115,295,170,50,0.64,8.77E-11
950,115,295,170,50,0.642,-1.88E-11
950,115,295,170,70,0.632,6.09E-10
950,115,295,170,70,0.634,6.13E-10
950,115,295,170,70,0.636,6.11E-10
950,115,295,170,70,0.638,6.03E-10
950,115,295,170,70,0.64,5.78E-10
950,115,295,170,70,0.642,5.87E-10
950,115,295,170,90,0.632,7.54E-10
950,115,295,170,90,0.634,7.60E-10
950,115,295,170,90,0.636,7.61E-10
950,115,295,170,90,0.638,7.57E-10
950,115,295,170,90,0.64,7.42E-10
950,115,295,170,90,0.642,7.42E-10
950,115,295,170,110,0.632,7.53E-10
950,115,295,170,110,0.634,7.61E-10
950,115,295,170,110,0.636,7.64E-10
950,115,295,170,110,0.638,7.63E-10
950,115,295,170,110,0.64,7.57E-10
950,115,295,170,110,0.642,7.54E-10
950,115,295,170,130,0.632,7.40E-10
950,115,295,170,130,0.634,7.49E-10
950,115,295,170,130,0.636,7.52E-10
950,115,295,170,130,0.638,7.53E-10
950,115,295,170,130,0.64,7.50E-10
950,115,295,170,130,0.642,7.49E-10
950,115,295,170,150,0.632,7.34E-10
950,115,295,170,150,0.634,7.43E-10
950,115,295,170,150,0.636,7.46E-10
950,115,295,170,150,0.638,7.47E-10
950,115,295,170,150,0.64,7.46E-10
950,115,295,170,150,0.642,7.45E-10
950,115,295,220,50,0.632,1.55E-10
950,115,295,220,50,0.634,1.37E-10
950,115,295,220,50,0.636,1.20E-10
950,115,295,220,50,0.638,9.71E-11
950,115,295,220,50,0.64,7.36E-11
950,115,295,220,50,0.642,-4.78E-12
950,115,295,220,70,0.632,5.33E-10
950,115,295,220,70,0.634,5.23E-10
950,115,295,220,70,0.636,5.11E-10
950,115,295,220,70,0.638,4.93E-10
950,115,295,220,70,0.64,4.66E-10
950,115,295,220,70,0.642,3.97E-10
950,115,295,220,90,0.632,7.40E-10
950,115,295,220,90,0.634,7.33E-10
950,115,295,220,90,0.636,7.24E-10
950,115,295,220,90,0.638,7.11E-10
950,115,295,220,90,0.64,6.91E-10
950,115,295,220,90,0.642,6.49E-10
950,115,295,220,110,0.632,8.03E-10
950,115,295,220,110,0.634,7.96E-10
950,115,295,220,110,0.636,7.88E-10
950,115,295,220,110,0.638,7.79E-10
950,115,295,220,110,0.64,7.66E-10
950,115,295,220,110,0.642,7.42E-10
950,115,295,220,130,0.632,8.20E-10
950,115,295,220,130,0.634,8.13E-10
950,115,295,220,130,0.636,8.05E-10
950,115,295,220,130,0.638,7.96E-10
950,115,295,220,130,0.64,7.87E-10
950,115,295,220,130,0.642,7.73E-10
950,115,295,220,150,0.632,8.25E-10
950,115,295,220,150,0.634,8.17E-10
950,115,295,220,150,0.636,8.10E-10
950,115,295,220,150,0.638,8.02E-10
950,115,295,220,150,0.64,7.93E-10
950,115,295,220,150,0.642,7.83E-10
950,115,295,270,50,0.632,1.18E-12
950,115,295,270,50,0.634,8.39E-13
950,115,295,270,50,0.636,8.30E-13
950,115,295,270,50,0.638,1.26E-12
950,115,295,270,50,0.64,4.29E-12
950,115,295,270,50,0.642,2.59E-11
950,115,295,270,70,0.632,1.43E-12
950,115,295,270,70,0.634,9.85E-13
950,115,295,270,70,0.636,8.65E-13
950,115,295,270,70,0.638,1.03E-12
950,115,295,270,70,0.64,2.85E-12
950,115,295,270,70,0.642,1.06E-11
950,115,295,270,90,0.632,1.90E-12
950,115,295,270,90,0.634,1.28E-12
950,115,295,270,90,0.636,1.04E-12
