Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual
950.0,195.0,315.0,70.0,70.0,0.632,-3.254490422346683e-11,-2.81e-11
950.0,115.0,335.0,420.0,70.0,0.632,-1.545940645047938e-10,-1.75e-10
950.0,135.0,295.0,220.0,150.0,0.632,6.325892670620868e-10,6.61e-10
950.0,175.0,235.0,170.0,70.0,0.64,4.160302652501227e-11,6.01e-11
950.0,135.0,295.0,170.0,70.0,0.642,4.949525803484357e-10,5.1e-10
950.0,195.0,235.0,220.0,130.0,0.634,1.3304170237576145e-10,1.59e-10
950.0,175.0,215.0,70.0,70.0,0.632,-1.017851243656471e-10,-1.25e-10
950.0,175.0,275.0,20.0,90.0,0.638,-1.9345597987703425e-11,-3.55e-11
950.0,135.0,315.0,170.0,90.0,0.636,7.332531350888694e-10,7.09e-10
950.0,155.0,215.0,420.0,90.0,0.634,-8.382893817405567e-11,-8.78e-11
950.0,135.0,215.0,220.0,90.0,0.638,3.0779586812746484e-10,3.16e-10
950.0,135.0,255.0,320.0,130.0,0.638,-4.5134271091395443e-10,-4.75e-10
950.0,135.0,295.0,120.0,90.0,0.632,2.586069844038082e-10,2.71e-10
950.0,175.0,235.0,420.0,70.0,0.636,7.202373385927239e-11,9.83e-11
950.0,155.0,235.0,270.0,130.0,0.632,7.13973819432762e-11,8.95e-11
950.0,135.0,335.0,420.0,130.0,0.632,-1.407511547909133e-10,-9.4e-11
950.0,175.0,255.0,370.0,110.0,0.642,-3.265830528136773e-10,-3.19e-10
950.0,155.0,235.0,270.0,130.0,0.64,7.36495641785733e-11,9.28e-11
950.0,135.0,315.0,220.0,70.0,0.64,2.5618832596035814e-10,2.76e-10
950.0,195.0,215.0,220.0,70.0,0.634,2.5573656466661554e-11,9.26e-12
950.0,135.0,335.0,70.0,110.0,0.64,1.0452869399614491e-10,1.61e-10
950.0,175.0,235.0,270.0,110.0,0.636,-3.991969531221373e-12,7.209999999999997e-13
950.0,155.0,315.0,120.0,50.0,0.636,-7.223318493201962e-11,-8.34e-11
950.0,175.0,275.0,370.0,150.0,0.632,-2.5548083541640704e-10,-2.49e-10
950.0,155.0,335.0,370.0,150.0,0.634,-1.7839963108823202e-10,-2.3e-10
950.0,155.0,215.0,20.0,90.0,0.642,-3.024407135019445e-11,-1.04e-11
950.0,135.0,335.0,220.0,50.0,0.634,9.591529773533307e-11,9.98e-11
950.0,115.0,315.0,120.0,150.0,0.632,3.2960493692977457e-10,3.78e-10
950.0,155.0,275.0,70.0,150.0,0.638,3.9288565277110494e-11,6.67e-11
950.0,155.0,295.0,320.0,90.0,0.634,-4.889968771473715e-10,-4.93e-10
950.0,195.0,315.0,270.0,90.0,0.638,-2.403723562025893e-10,-2.65e-10
950.0,195.0,315.0,170.0,90.0,0.642,3.6150979076858833e-10,3.83e-10
