Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual,,,,,,,,,,,,,,
950,135,335,220,150,0.636,0.393496459959933,1.43353973454856,,,,,,,,,,,,,,
1000,195,315,270,150,0.634,0.11774078534928,-1.2468935514473,,,,,,,,,,,,,,
1200,195,235,320,150,0.634,0.240274413679295,0.233658024020667,,,,,,,,,,,,,,
950,195,275,220,110,0.64,0.251802769248933,0.513606372598431,,,,,,,,,,,,,,
1150,115,295,370,110,0.636,-0.103521677189225,-0.0719149781646727,,,,,,,,,,,,,,
1100,135,235,320,110,0.636,0.17985762107205,0.701200626800025,,,,,,,,,,,,,,
1050,135,255,370,150,0.636,-0.384989171045163,-0.165701282520035,,,,,,,,,,,,,,
1200,175,295,120,150,0.636,0.528557713902297,0.105228111528806,,,,,,,,,,,,,,
950,115,335,320,130,0.634,-0.386938315417661,-3.42948054744662,,,,,,,,,,,,,,
1050,175,215,420,110,0.632,-0.659982577397409,-0.731009352392917,,,,,,,,,,,,,,
1200,135,215,20,150,0.634,-0.25147498153459,-0.0742425899494971,,,,,,,,,,,,,,
1200,175,235,420,70,0.638,-0.274903458033937,-0.0145436046152889,,,,,,,,,Period,Ax,Bx,Gap,Au,Lam
950,155,315,270,70,0.642,0.0400597662194437,-1.30822244224398,,,,,,,,,950,135,335,220,150,0.636
1150,115,295,220,90,0.638,0.450604964441072,1.53094444346092,,,,,,,,,,,,,,
1100,195,235,370,50,0.636,-0.22864540803394,-0.0174296700645442,,,,,,,,,,,,,,
1100,155,235,120,150,0.634,0.564213395617508,0.133367249659045,,,,,,,,,,,,,,
950,155,275,70,70,0.636,0.0121485554695147,-0.55423784362603,,,,,,,,,,,,,,
1150,115,335,370,130,0.634,-0.204743027278555,-0.835629224928421,,,,,,,,,,,,,,
1200,155,295,120,130,0.64,0.418096841466897,0.365695518324097,,,,,,,,,,,,,,
1150,155,235,320,110,0.642,0.200372315647442,0.7625295175967,,,,,,,,,,,,,,
1000,135,295,20,70,0.634,-0.230704816212452,-0.164619007976564,,,,,,,,,,,,,,
1200,195,255,20,50,0.642,-1.25615697383008,-0.356903118533199,,,,,,,,,,,,,,
1000,175,335,120,130,0.636,0.598750563802925,1.17018626230401,,,,,,,,,,,,,,
1100,135,255,370,70,0.634,-0.170911567841959,-0.137201386208639,,,,,,,,,,,,,,
1100,115,315,20,90,0.634,-0.138707992796666,-0.135397595302855,,,,,,,,,,,,,,
950,135,255,20,150,0.632,0.12617237392358,-0.0834844930343749,,,,,,,,,,,,,,
1100,135,335,420,150,0.64,-1.06025051010531,-3.22745596599875,,,,,,,,,,,,,,
1100,135,215,370,90,0.64,-0.0873317179513462,-0.0087714737167783,,,,,,,,,,,,,,
950,175,235,220,130,0.642,0.29435388976099,0.978984426290848,,,,,,,,,,,,,,
950,175,235,420,70,0.638,-0.866998779236703,0.199746754991917,,,,,,,,,,,,,,
950,175,215,320,110,0.638,-0.184471486988259,-0.514554443698769,,,,,,,,,,,,,,
1100,135,215,170,150,0.632,0.651247407403703,0.146715302361851,,,,,,,,,,,,,,
1200,175,235,70,130,0.638,-0.0906085635246443,-0.10018759682194,,,,,,,,,,,,,,
1100,175,215,20,130,0.636,-0.223272666329612,-0.0754973069035608,,,,,,,,,,,,,,
1100,175,215,20,110,0.638,-0.386697934480893,-0.0727014309995948,,,,,,,,,,,,,,
1050,135,235,170,150,0.638,0.68088263854172,2.90904069548033,,,,,,,,,,,,,,
950,155,335,220,50,0.634,0.179761144197824,0.103063562441865,,,,,,,,,,,,,,
1150,155,255,370,110,0.634,-0.0849986039887218,-0.0724200396182924,,,,,,,,,,,,,,
1200,195,295,20,130,0.64,-0.265139146094721,-0.0881021977531833,,,,,,,,,,,,,,
1000,195,315,120,130,0.642,0.52481976523659,2.15505609686238,,,,,,,,,,,,,,
1000,195,275,320,150,0.636,-0.23409894054102,-1.42005747840262,,,,,,,,,,,,,,
1050,175,215,370,110,0.636,-0.268595041460761,-0.525377189133477,,,,,,,,,,,,,,
1200,175,255,170,50,0.636,-0.306807120393409,-1.05929929724571,,,,,,,,,,,,,,
950,195,335,270,110,0.636,-0.027967440396556,-1.40562715115634,,,,,,,,,,,,,,
1000,135,215,420,150,0.642,-1.00578592575261,-1.57518349630009,,,,,,,,,,,,,,
1100,195,235,320,130,0.636,0.0757882260769618,0.0799750388478221,,,,,,,,,,,,,,
950,195,275,170,130,0.638,0.397234548828795,1.09442704426106,,,,,,,,,,,,,,
1000,135,235,370,150,0.632,-0.526480677145778,-1.39119682391007,,,,,,,,,,,,,,
950,195,215,320,50,0.634,-0.151183396247596,-0.0336637882166053,,,,,,,,,,,,,,
1150,195,295,20,70,0.632,-0.665781271748732,-0.227751689679024,,,,,,,,,,,,,,
950,135,295,20,70,0.638,-0.219196798363621,-0.264549024157029,,,,,,,,,,,,,,
1150,135,215,320,130,0.64,0.299989646543073,0.939301026363588,,,,,,,,,,,,,,
1150,175,335,120,110,0.636,0.412552669607185,0.175215198673247,,,,,,,,,,,,,,
1000,155,295,270,50,0.636,0.0861339099485994,0.043538462550974,,,,,,,,,,,,,,
950,195,335,70,130,0.636,0.360989776165493,0.336834863831544,,,,,,,,,,,,,,
1150,195,235,320,70,0.64,-0.0144245462054613,-0.0965078633741394,,,,,,,,,,,,,,
950,195,255,20,70,0.642,-0.393038115270215,-0.0460017180121717,,,,,,,,,,,,,,
950,135,315,270,130,0.634,0.0815688186917196,-1.5391076781844,,,,,,,,,,,,,,
1000,135,275,20,110,0.634,0.00362146397486374,-0.118081202607323,,,,,,,,,,,,,,
1200,135,255,270,50,0.638,0.00957963015270824,-1.56436075086538,,,,,,,,,,,,,,
1150,175,235,270,130,0.638,0.385330720819645,0.794997753900822,,,,,,,,,,,,,,
1100,175,335,120,110,0.634,0.490081042928333,0.546074608902553,,,,,,,,,,,,,,
1100,195,275,220,70,0.636,0.178051122635723,0.158981080521186,,,,,,,,,,,,,,
1200,135,255,220,130,0.634,0.567280190915176,-0.139365935295581,,,,,,,,,,,,,,
950,175,315,270,150,0.64,-0.000274800795829755,-1.74834742325541,,,,,,,,,,,,,,
1200,155,255,270,130,0.64,0.458678568921045,1.48404587991053,,,,,,,,,,,,,,
1150,135,335,320,90,0.634,0.0930613907331086,0.405378918251357,,,,,,,,,,,,,,
1050,175,215,220,150,0.642,0.487530147596255,0.113525549695415,,,,,,,,,,,,,,
1200,175,335,270,50,0.634,-0.0199657517738592,-0.101666705364683,,,,,,,,,,,,,,
1200,195,255,20,70,0.634,-1.02861303325798,-0.335979144026098,,,,,,,,,,,,,,
1200,175,295,220,110,0.638,0.388593309971962,1.01145266259497,,,,,,,,,,,,,,
950,135,255,170,90,0.632,0.35744499897388,1.35778051650561,,,,,,,,,,,,,,
1050,115,335,70,150,0.64,0.721075448638307,-0.373858753047574,,,,,,,,,,,,,,
1000,175,215,170,50,0.636,0.0373341877859632,-0.25156172963538,,,,,,,,,,,,,,
1150,155,335,270,50,0.642,0.0758640286315009,-0.212239087889277,,,,,,,,,,,,,,
1050,195,215,270,50,0.64,0.0202123785811841,-0.0619472296193072,,,,,,,,,,,,,,
1200,155,255,370,130,0.636,0.0326257530855738,0.2040758531658,,,,,,,,,,,,,,
1200,115,295,270,130,0.64,0.58127752033153,2.55549767794656,,,,,,,,,,,,,,
1150,135,295,170,130,0.636,0.678422384384912,0.748099190350424,,,,,,,,,,,,,,
1050,175,295,170,70,0.638,0.281911861036664,0.744491608538855,,,,,,,,,,,,,,
1150,175,215,70,110,0.634,-0.189915473504479,-0.199973309729942,,,,,,,,,,,,,,
1100,135,275,220,90,0.642,0.422478283122721,2.41480198729536,,,,,,,,,,,,,,
1150,195,335,370,70,0.636,-0.37186536080078,-0.893350533913528,,,,,,,,,,,,,,
1150,155,235,170,130,0.642,0.491769804824791,0.986199589913986,,,,,,,,,,,,,,
1150,195,335,20,70,0.638,-0.539796148262274,-0.308922280439329,,,,,,,,,,,,,,
1050,195,215,70,110,0.64,-0.0198289796840392,-0.0116575391660336,,,,,,,,,,,,,,
1000,135,215,370,90,0.634,-0.316384786327589,-0.684110788842518,,,,,,,,,,,,,,
950,195,235,420,70,0.634,-0.8721279577957,0.158981080521186,,,,,,,,,,,,,,
1200,195,335,170,50,0.638,-0.155970068282406,-0.84284438855156,,,,,,,,,,,,,,
1150,195,335,70,110,0.636,0.154090958043745,-0.111587555346498,,,,,,,,,,,,,,
1100,175,295,120,150,0.642,0.668236476415795,1.58505817063446,,,,,,,,,,,,,,
950,175,255,320,150,0.638,-0.334854943599258,-1.49581669644557,,,,,,,,,,,,,,
1050,175,235,270,50,0.636,0.06936166643154,-0.211517571526963,,,,,,,,,,,,,,
950,115,315,270,70,0.64,0.0735832084729795,-0.507339280075631,,,,,,,,,,,,,,
1050,135,335,320,150,0.638,-0.0717532730873334,-0.532592352756615,,,,,,,,,,,,,,
1200,135,235,20,50,0.64,-1.25118803901885,-0.442402807467387,,,,,,,,,,,,,,
1100,175,235,420,90,0.636,-0.516067624700272,-0.41173836206905,,,,,,,,,,,,,,
1050,155,215,270,130,0.642,0.332691404768542,0.273702182129084,,,,,,,,,,,,,,
1200,195,215,370,130,0.632,-0.0123587782067256,-0.0466871585563698,,,,,,,,,,,,,,
1050,155,275,20,130,0.636,0.0899188521135041,0.151405158716891,,,,,,,,,,,,,,
1100,195,335,270,150,0.642,0.333017885802083,0.088993993376745,,,,,,,,,,,,,,
1050,175,315,120,130,0.642,0.602740242651779,0.0251397953119715,,,,,,,,,,,,,,
1000,135,215,320,50,0.632,-0.0338631346630942,-0.0522789103643019,,,,,,,,,,,,,,
1150,135,335,20,50,0.638,-0.667023619442287,-0.691325952465657,,,,,,,,,,,,,,
1150,195,235,270,110,0.64,0.247647008781774,0.398163754628219,,,,,,,,,,,,,,
1000,155,335,170,130,0.636,0.629885107260159,2.43644747816477,,,,,,,,,,,,,,
1100,155,255,270,70,0.634,0.189804743268605,-0.0824382943090198,,,,,,,,,,,,,,
950,195,235,170,130,0.634,0.341129052852276,0.51721395441,,,,,,,,,,,,,,
1050,175,255,20,130,0.64,-0.0086687766650897,-0.0593136948968617,,,,,,,,,,,,,,
1050,135,295,320,90,0.632,-0.00063622038141542,-0.446010389278956,,,,,,,,,,,,,,
1200,155,255,220,150,0.632,0.638518722121255,-0.183378433396724,,,,,,,,,,,,,,
1150,195,275,170,110,0.642,0.340034887206365,0.823858408393376,,,,,,,,,,,,,,
1050,155,235,320,90,0.632,0.0421214770233922,0.0554434825291521,,,,,,,,,,,,,,
950,175,235,370,50,0.638,-0.42182251608395,0.362087936512528,,,,,,,,,,,,,,
950,195,335,270,50,0.642,-0.0506298888369514,-1.05569171543414,,,,,,,,,,,,,,
1100,135,235,320,110,0.632,0.179857475166869,0.481138136294309,,,,,,,,,,,,,,
1150,195,275,170,90,0.632,0.192581707791423,-0.821198897682145,,,,,,,,,,,,,,
1100,195,235,420,110,0.634,-0.600293536268106,-0.525377189133477,,,,,,,,,,,,,,
1200,195,335,170,130,0.632,0.513653180086431,0.126873602398221,,,,,,,,,,,,,,
1150,195,335,120,110,0.638,0.360769050440827,0.398163754628219,,,,,,,,,,,,,,
1050,115,335,120,150,0.64,0.865117184509185,-0.911388442971373,,,,,,,,,,,,,,
1150,155,255,70,50,0.634,-0.598342275173247,-1.22885564238946,,,,,,,,,,,,,,
1050,135,295,120,150,0.642,0.761406924798151,-0.351852503997002,,,,,,,,,,,,,,
1150,115,335,420,150,0.632,-0.795193254535711,-2.45543345832296,,,,,,,,,,,,,,
1100,175,315,270,150,0.638,0.402236969682468,1.28923646208579,,,,,,,,,,,,,,
1100,135,315,420,50,0.642,-0.69624580752753,0.0226144880438731,,,,,,,,,,,,,,
1000,195,215,320,50,0.636,-0.0976027520228948,-0.106176182629145,,,,,,,,,,,,,,
1000,135,235,370,110,0.64,-0.407555742513747,-1.66537304158932,,,,,,,,,,,,,,
1200,155,235,420,110,0.64,-0.246476590224323,-0.199973309729942,,,,,,,,,,,,,,
1050,135,275,420,150,0.642,-1.02695993960783,-1.41284231477948,,,,,,,,,,,,,,
1100,195,235,270,130,0.632,0.30301897349452,0.412594081874495,,,,,,,,,,,,,,
950,155,275,370,150,0.634,-0.879429017085088,-1.54993042361911,,,,,,,,,,,,,,
1150,195,295,320,110,0.634,0.0630327574557787,0.114247066057729,,,,,,,,,,,,,,
