C,gamma
0.01,1e-09
0.01,1e-08
0.01,1e-07
0.01,1e-06
0.01,1e-05
0.01,0.0001
0.01,0.001
0.01,0.01
0.01,0.1
0.01,1.0
0.01,10.0
0.01,100.0
0.01,1000.0
0.1,1e-09
0.1,1e-08
0.1,1e-07
0.1,1e-06
0.1,1e-05
0.1,0.0001
0.1,0.001
0.1,0.01
0.1,0.1
0.1,1.0
0.1,10.0
0.1,100.0
0.1,1000.0
1.0,1e-09
1.0,1e-08
1.0,1e-07
1.0,1e-06
1.0,1e-05
1.0,0.0001
1.0,0.001
1.0,0.01
1.0,0.1
1.0,1.0
1.0,10.0
1.0,100.0
1.0,1000.0
10.0,1e-09
10.0,1e-08
10.0,1e-07
10.0,1e-06
10.0,1e-05
10.0,0.0001
10.0,0.001
10.0,0.01
10.0,0.1
10.0,1.0
10.0,10.0
10.0,100.0
10.0,1000.0
100.0,1e-09
100.0,1e-08
100.0,1e-07
100.0,1e-06
100.0,1e-05
100.0,0.0001
100.0,0.001
100.0,0.01
100.0,0.1
100.0,1.0
100.0,10.0
100.0,100.0
100.0,1000.0
1000.0,1e-09
1000.0,1e-08
1000.0,1e-07
1000.0,1e-06
1000.0,1e-05
1000.0,0.0001
1000.0,0.001
1000.0,0.01
1000.0,0.1
1000.0,1.0
1000.0,10.0
1000.0,100.0
1000.0,1000.0
10000.0,1e-09
10000.0,1e-08
10000.0,1e-07
10000.0,1e-06
10000.0,1e-05
10000.0,0.0001
10000.0,0.001
10000.0,0.01
10000.0,0.1
10000.0,1.0
10000.0,10.0
10000.0,100.0
10000.0,1000.0
100000.0,1e-09
100000.0,1e-08
100000.0,1e-07
100000.0,1e-06
100000.0,1e-05
100000.0,0.0001
100000.0,0.001
100000.0,0.01
